Chương,Trang PDF,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích đáp án
Chương 5,48,"Theo Hồ Chí Minh, khối đại đoàn kết toàn dân tộc phải dựa trên lập trường của:","Giai cấp công nhân, nông dân và tầng lớp trí thức",Dân tộc,Giai cấp công nhân,Giai cấp công nhân và Dân tộc,C,
Chương 5,48,"Theo Hồ Chí Minh, kế thừa truyền thống yêu nước, nhân nghĩa, đoàn kết của dân tộc là:",Nguyên nhân của khối đại đoàn kết toàn dân tộc,Điều kiện của khối đại đoàn kết toàn dân tộc.,Hạt nhân của khối đại đoàn kết toàn dân tộc,Yêu cầu của khối đại đoàn kết toàn dân tộc,B,
Chương 5,48,"Theo Hồ Chí Minh, khối đại đoàn kết toàn dân tộc chỉ có sức mạnh khi:",Được lãnh đạo,Được tập hợp thành một khối,Được trang bị vũ khí,Được trang bị lý luận.,B,
Chương 5,49,"Theo Hồ Chí Minh, Mặt trận dân tộc thống nhất phải được xây dựng và hoạt động dựa trên:",3 nguyên tắc,4 nguyên tắc,5 nguyên tắc,6 nguyên tắc,A,
Chương 5,49,"Theo Hồ Chí Minh, đoàn kết quốc tế nhằm:",Kết hợp sức mạnh dân tộc với sức mạnh thời đại,"Kết hợp sức mạnh dân tộc với sức mạnh thời đại, tạo sức mạnh tổng hợp cho cách mạng.",Tạo sức mạnh tổng hợp cho cách mạng.,"Tận dụng sự giúp đỡ, hỗ trợ của nhân dân tiến bộ các nước.",B,
Chương 5,49,"Theo tư tưởng Hồ Chí Minh, lực lượng của đoàn kết quốc tế bao gồm:",Phong trào cộng sản và công nhân Quốc tế,Phong trào đấu tranh giải phóng dân tộc,"Các lực lượng tiến bộ, những người yêu chuộng hòa bình, dân chủ, tự do và công lý.",Tất cả đều đúng,D,
Chương 5,49,"Theo Hồ Chí Minh, trong đoàn kết quốc tế:","Nội lực là quyết định, ngoại lực là cơ bản","Nội lực là quyết định, ngoại lực phát huy thông qua nội lực","Nội lực là cơ bản, ngoại lực là quyết định",Nội lực và ngoại lực có tầm quan trọng như nhau.,B,
Chương 5,49,"Quan điểm “Đại đoàn kết dân tộc là đường lối chiến lược của cách mạng Việt Nam, là động lực và nguồn lực to lớn trong xây dựng và bảo vệ Tổ quốc” được Đảng xác định tại:",Đại hội Đảng lần thứ X,Đại hội Đảng lần thứ XI,Đại hội Đảng lần thứ XII,Đại hội Đảng lần thứ IX,C,
Chương 5,49,"Theo Hồ Chí Minh, hạt nhân của sự đoàn kết là:",Sự đoàn kết và thống nhất trong Đảng,Sự đồng thuận trong nhân dân,Sự hài hòa về lợi ích của nhân dân,Sự tin tưởng của nhân dân.,A,
Chương 6,50,Chủ thể của khối đại đoàn kết toàn dân tộc là:,Toàn thể nhân dân Việt Nam yêu nước,Toàn thể giai cấp công nhân Việt Nam,Toàn thể Đảng viên Đảng Cộng sản Việt Nam,"Toàn thể giai cấp công nhân, nông dân và tầng lớp trí thức.",A,
Chương 6,50,"So với các nền dân chủ trước đây, dân chủ XHCN có điểm gì khác biệt cơ bản:",Không còn mang tính giai cấp,Là nền dân chủ phi lịch sử,Là nền dân chủ rỗng rãi cho giai cấp công nhân và nhân dân lao động.,Là nền dân chủ thuần tuý,D,
Chương 6,50,Cơ chế vận hành của hệ thống chính trị nước ta là:,"Đảng và nhà nước lãnh đạo, quản lý, nhân dân làm chủ","Đảng lãnh đạo, nhà nước quản lý, nhân dân làm chủ","Nhà nước lãnh đạo, Đảng quản lý, nhân dân làm chủ","Nhà nước làm chủ, Đảng lãnh đạo, nhân dân quản lý",B,
Chương 6,50,Quốc hội đầu tiên của nước Việt Nam dân chủ cộng hoà được nào?,4/1/1946,,,,,
Chương 6,50,"Cho đến nay, nước ta đã từng có mấy bản Hiến pháp?",Một,Hai,Ba,Bốn,D,
Chương 6,50,Hiến pháp 1980 được thông qua tại Quốc hội nước Cộng hoà xã hội,Quốc hội khoá V,Quốc hội khoá VI,Quốc hội khoá VII,Quốc hội khoá VIII,B,
Chương 6,50,Bầu cử các đại biểu Quốc hội và Hội đồng Nhân dân các cấp của dân vào các cơ quan quyền lực nhà nước thuộc loại hình dân chủ nào?,18 tuổi,19 tuổi,20 tuổi,21 tuổi,D,
Chương 6,50,"Trong hệ thống chính trị, Hồ Chí Minh coi trọng vai trò của:",Bộ Chính trị,,Ban Bí thư,,,
Chương 6,50,"Ở nước ta hiện nay, công dân từ bao nhiêu tuổi trở lên thì có quyền",18 tuổi,Ban Chấp hành Trung Ương,,Chi bộ ứng cử vào đại biểu Quốc hội?,D,
Chương 6,50,"Xây dựng nhà nước pháp quyền XHCN của dân, do dân, vì dân ở",Tăng cường sự lãnh đạo của Đảng,Dân chủ hoá tổ chức và hoạt động của bộ máy Nhà nước.,"Xây dựng hệ thống luật pháp hoàn chỉnh và phân lập rõ các quyền lập pháp, hành pháp và tư pháp.",Đưa luật pháp vào cuộc sống.,C,
Chương 6,51,"Dưới đây là một số luận điểm của Hồ Chí Minh về một nhà nước của dân, do dân, vì dân. Hỏi luận điểm nào trực tiếp thể hiện tư tưởng nhà nước vì dân?",Nhà nước,"Dân “Việc gì có lợi cho [……], ta phải hết sức làm “Việc gì có hại cho [……], ta phải hết sức tránh…”",Hễ chính phủ nào mà có hại cho dân chúng thì dân chúng phải đạp đổ chính phủ ấy đi và gây nên chính phủ khác.,"Việc gì có lợi cho dân ta phải hết sức làm. Việc gì hại đến dân, ta phải hết sức tránh. 12 Chọn cụm từ điền vào chỗ trống [……] đúng với tư tưởng Hồ Chí Minh:",B,
Chương 6,51,"Theo tư tưởng Hồ Chí Minh, nhà nước ta mang bản chất của:",Nhà nước do Đảng của giai cấp công nhân lãnh đạo,Nhà nước hoạt động theo nguyên tắc tập trung dân chủ,Giai cấp công nhân là lực lượng cơ bản của nhà nước,Nhà nước định hướng đưa đất nước đi lên chủ nghĩa xã hội,C,
Chương 6,51,"Luận điểm nào sau đây là sai? Theo tư tưởng Hồ Chí Minh, Đảng lãnh đạo Nhà nước bằng:",Chăm lo mọi mặt đời sống của nhân dân,Mọi quyền lực trong nhà nước và trong xã hội đều thuộc về nhân dân,Mọi công việc của nhà nước do dân quyết định,Đại biểu của nhà nước do dân bầu ra,B,
Chương 6,52,"Luận điểm nào sau đây là sai? Theo Hồ Chí Minh, trong xây dựng đường lối chính trị Đảng cần phải:","Thật sự là đội tiên phong dũng cảm, là bộ tham mưu sáng suốt của giai cấp công nhân, nhân dân lao động và của cả dân tộc",Dựa trên cơ sở lý luận của chủ nghĩa Mác – Lênin,Vận dụng kinh nghiệm của các Đảng cộng sản và anh em vào điều kiện cụ thể của nước ta trong thời kỳ quá độ,Tập hợp các nhà nghiên cứu lý luận giỏi,D,
Chương 6,52,"Theo tư tưởng Hồ Chí Minh, nhà nước vì dân là nhà nước:",Tất cả đều vì lợi ích của nhân dân,Do nhân dân làm chủ,Phục vụ nhân dân,Chăm lo mọi mặt đời sống nhân dân,A,
Chương 6,52,"Luận điểm nào sau đây là sai? Theo tư tưởng Hồ Chí Minh, nhà nước vì dân là nhà nước:",Tất cả đều vì lợi ích của nhân dân,Do nhân dân làm chủ,Phục vụ nhân dân,Chăm lo mọi mặt đời sống nhân dân,B,
Chương 6,52,"Chọn cụm từ điền vào chỗ trống [……] theo tư tưởng Hồ Chí Minh: “Chế độ ta là chế độ dân chủ, nghĩa là [……] làm chủ”",Công nhân,,,,,
Chương 6,52,"Chọn cụm từ điền vào chỗ trống […..] theo tư tưởng Hồ Chí Minh : “ nước ta là nước [….] , nghĩa là do nhân dân [….]” a.cộng hòa , quản lý c.dân chủ , làm chủ",,,,,,
Chương 6,52,"Chọn cụm từ điền vào chỗ trống […..] theo tư tưởng Hồ Chí Minh: “ tất cả các cơ quan nhà nước đều phải dựa vào […..], liên hệ chặt chẽ với b.vì dân, kiểm soát d.dân chủ kiểm soát",,,Nhân dân [….] lắng nghe chú ý chịu sự kiểm soát của […….]”. c.Nhân dân b.Quốc hội a.Công nhân,Công - nông,C,
Chương 6,52,"Chọn cụm từ điền vào chỗ trống […..] theo tư tưởng Hồ Chí Minh: “ nước nhà thịnh hay suy , yếu hay mạnh một phần lớn do các […..] “. a.thanh niên c.Thiếu nhi , nhi đồng 29 Theo Hồ Chí Minh , chế độ chính trị mà chúng ta xây dựng là chế độ: b.Cấn bộ nhà nước d.Chính phủ d.tri thức",Nhà nước phải chịu sự lãnh đạo của Đảng,Nhà nước phải chịu sự giám sát của nhân dân,Nhà nước phải quản lý đất nước bằng Hiến pháp và pháp luật,Đẩy mạnh quan hệ quốc tế,C,
Chương 6,53,Chọn phương án đúng theo tư tưởng Hồ Chí Minh: a.Pháp luật đúng là pháp luật thể hiện và bảo vệ được lợi ích của dân.,,Pháp luật đúng là pháp luật thể hiện và bảo vệ giai cấp cầm quyền.,Pháp luật đúng là pháp luật duy trì sự cầm quyền của Đảng,Phấp luật đúng là công cụ thống trị của thế lực cầm quyền .,,
Chương 6,53,Nhà nước do dân theo tư tưởng Hồ Chí Minh là :,Đại biểu của nhà nước do dân lựa chọn. Nhà nước phải liên hệ chặt chẽ với dân .,"Dân ủng hộ, giúp đỡ , đóng thuế để nhà nước chi tiêu hoạt động","Dân có quyền kiểm soát , giám sát , bãi miễn nếu đại biểu không làm tròn sự ủy thác của dân","Cả a,b,c đều đúng",D,
Chương 6,53,Nhà nước vì dân theo tư tưởng Hồ Chí Minh là:,Phục vụ vì lợi ích và nguyện vọng chính đáng của nhân dân,"Dân làm chủ , chính phủ là đầy tớ . Mọi chủ trương, chính sách, pháp luật đều xuất phát từ lợi ích của dân","Nhà nước trong sạch không có bất cứ một đặc quyền , đặc lợi nào","Cả a,b,c đều đúng",A,
Chương 6,53,Điền vào chỗ trống [……] đúng theo tư tưởng Hồ Chí Minh: Nhà nước Việt Nam […..]: a.Mang bản chất giai cấp công nhân,Bệnh thành tích,Có tĩnh dân tộc và tính nhân dân sâu sắc,"Đặc quyền , đặc lợi","Mang tính dân tộc 37 Luận điểm nào sau đây là sai ?Trong quá trình lãnh đạo nhà nước , Hồ Chí Minh nhắc nhở cần phải đề phòng và khắc phục những tiêu cực như",A,
Chương 6,53,Một nhà nước pháp quyền có pháp lý mạnh mẽ theo Hồ Chí Minh phải,Coi trọng pháp luật trong quản lý xã hội,Kiệm,Đảm bảo tính nghiêm minh và hiệu lực của công việc,Kết hợp nhuân nhuyễn cả pháp luật và đạo đức trong quản lý xã hội,D,
Chương 6,54,Tư tưởng đạo đức của Hồ Chí Minh bắt nguồn từ : a.Truyền thông đạo đức của dân tộc Việt Nam b.Kế thừa tư tưởng đạo đức phương đông và tinh hoa văn hóa nhân loại,,,"Tư tưởng đạo đức và những tấm gương đạo đức của Mác, Anghen, Lênin",Tất cả phương án trên đều đúng,D,
Chương 6,54,"Theo Hồ Chí Minh , đức tính cần thiết cho một con người là gì ?",Cần,,"Liêm, Chính",,,
Chương 6,54,"Theo Hồ Chí Minh , văn hóa có mấy chức năng ?",3 chức năng,4 chức năng,5 chức năng d.6 chức năng,,A,
Chương 6,54,"Câu nói sau đây là của ai ? “ Người mà không liêm , không bằng súc vật “",Tấn Đạt Đa,,,,,
Chương 6,54,"Luận điểm nào sau đây sai ? Theo Hồ Chí Minh , học để làm gì ?",làm cán bộ,,,,,
Chương 6,54,Phẩm chất đạo đức cơ bản đạo đức của người Việt Nam trong thời đại,"Trung với nước , Hiếu với dân. Yêu thường con người","Cần, Kiệm, Liêm, Chính , Chí công vô tư",Có tinh thần quốc tế trong sáng,"Cả a,b,c đều đúng",D,
Chương 6,54,Hãy lựa chọn câu trả lời đúng nhất theo tư tưởng Hồ Chí Minh :,"Vì lợi ích mười năm trồng người , vì lợi ích trăm năm trồng cây","Vì lợi ích mười năm trồng cây , vì lời ích trăm năm trồng người","Vì lợi ích mười năm, trồng cây ; vì lợi ích trăm năm , trồng người","Vì lợi ích mười năm trồng cây , vì lợi ích trăm năm trồng người",D,
Chương 6,54,Con người theo quan điểm của Hồ Chí Minh là :,"Vốn quý nhất , nhân tố quan trọng của cách mạng","Vốn quý nhất , nhân tố quyết định thành công của cách mạng",Vốn quý của cách mạng,Động lực của cách mạng,B,
Chương 6,54,Khái niệm con người theo quan niệm của Hồ Chí Minh:,Một con người cụ thể,Một cộng động người,Con người cụ thể gắn với hoàn cảnh lịch sử cụ thể,"Con người trừu tượng , chung chung",C,
Chương 6,54,Theo Hồ Chí Minh “[…..] là gốc của người cách mạng “ .,Tài năng và đạo đức,Đạo đức,Tài năng,Phẩm chất chính trị,B,
Chương 6,54,Hồ Chí Minh đề cập đến đạo đức trong những quan hệ nào sau đây ?,Tuyên ngôn độc lập,Điều lệ vắn tắt,Đường cách mệnh,Bản án chế độ thực dân Pháp,C,
Chương 6,55,"Theo Hồ Chí Minh , để phát huy động lực con người , cần phải?",Phát huy sức mạnh của cả cộng đồng và sức mạnh của cá nhân người lao động,Phát huy sức mạnh đoàn kết của cả cộng đồng dân tộc,Phát huy sức mạnh của các nhân con người,Kêu gọi toàn dân,A,
Chương 6,55,"Theo tư tưởng Hồ Chí Minh, tính đại chúng của nền văn hóa được thể hiện ở chỗ :",Nền văn hóa ấy phải phục vụ cho nhân dân và do nhân dân xây dựng nên,Phát huy sức mạnh đoàn kết của cả cộng dồng dân tộc,Phát huy sức mạnh của cá nhân con người,kêu gọi toàn dân,A,
Chương 6,55,"Theo tư tưởng Hồ Chí Minh, cán bộ nhà nước là gì của nhân dân ?",Là người lãnh đạo c.Là chủ,,,,,
Chương 6,55,"Chọn cụm từ điền vào chỗ trống [……] đúng với tư tưởng Hồ Chí Minh:“ Người cách mạng phải có […..] , không có [….] thì dù tài giỏi mấy cũng không lãnh đạo được nhân dân” d.Là người quản lý",,Đạo đức cách mạng,Ý chí cách mạng,,B,
Chương 6,55,. Chọn cụm từ điền vào chỗ trống [……] đúng với tư tưởng Hồ Chí b.Đạo đức cách mạng d.Phương pháp cách mạng Minh: “ Văn hóa [……] cho quốc dân đi “ a.Dẫn đường,,,,,,
Chương 6,55,. Chọn cụm từ điền vào chỗ trống [……] đúng với tư tưởng Hồ Chí,,Tương đối quan trọng,Rất quan trọng,Rất nên làm,C,
Chương 6,55,"Theo tư tưởng Hồ Chí Minh, đạo đức có vai trò như thế nào ?",Là nền tảng lý luận của người cách mạng,"Là cái gốc , nên tảng của người cách mạng",Là định hướng lý tưởng của người cách mạng,Là cơ sở tư tưởng của người cách mạng,B,
Chương 6,55,"Theo tư tưởng Hồ Chí Minh , một trong những yêu cầu về xây dựng đội ngũ cán bộ công chức nhà nước là :",Tiếp tục phát triển kinh tế,Ra sức phát triển văn hóa,Công việc đối với con người,Phát triển khoa học kỹ thuật,C,
Chương 6,56,Câu nói nào sau đây là của Hồ Chí Minh ?,Đường lối lãnh đạo,Cán bộ tốt hay kém,Cán bộ lãnh đạo,Phương pháp lãnh đạo,B,
Chương 6,56,"Theo tư tưởng Hồ Chí Minh , trong mỗi con người bao giờ cũng có :",8-1941,Đào tạo nhân lực,8-1943,"Mở rộng hiểu biết nâng cao dân trí 71 Lần đầu tiên, Hồ Chí Minh đưa ra định nghĩa văn hóa vào thời gian nào ?",C,
Chương 6,56,Quan điểm xây dựng một nền văn hóa có nội dung xã hội chủ nghĩa b.8-1942 d.8-1945 còn có tính dân tộc được Hồ Chí Minh nêu ra vào thời gian nào ? c.1960,1951,,,,,
Chương 6,56,"Luận điểm nào sau đây là SAI ? Theo tư tưởng Hồ Chí minh , chức",Bồi dưỡng tư tưởng và tĩnh cảm cao đẹp,"Bồi dưỡng những phẩm chất, phong cách và lối sống tốt đẹp , lành mạnh hướng con người đến chân , thiện , mỹ để hoàn thiện bản thân.",Giải trí cho con người,"Mở rộng hiểu biết , nâng cao dân trí",C,
Chương 6,57,"Bác Hồ viết : Nay chúng ta đã giành được quyền độc lập,một trong những công việc phải thực hiện cấp tốc lúc này , là nâng cao dân trí [……] Phụ nữ lại càng cần phải học, đã lâu chị em bị kìm hãm, đây là lúc chị em phải có gắng để kịp nam giới “Đoạn văn trên trích từ văn bản nào của Hồ Chí Minh ?",Chống nạn thất học,Sắc lệnh thành lập Nha bình dân học vụ,Đời sống mới,Sắc lệnh thiết lập Hội đồng cố vấn học chính,A,
Chương 6,57,"Trong phiên họp đầu tiên của chính phủ nước Việt Nam dân chủ cộng hòa , dưới sự của chủ tịch Hồ Chí Minh, Người đã nói :” nạn dốt là một trong những phương pháp độc ác mà bọn thực dân dùng để cai trị chúng ta. Hơn chin mươi phần trăm đồng bào chúng ta mù chữ.. Một dân tộc dốt là một dân tộc yếu. Vì vậy, tôi đề nghị một chiến dịch để chống nạn mù chữ “ Phiên họp đó diễn ra vào lúc nào ?","Dân tộc, dân chủ","Dân tộc , giải phóng","Dân tộc , giải cấp","Dân chủ , công bằng",A,
Chương 6,57,Phong trào mà Hồ Chí Minh chủ trương để xóa nạn mù chữ sau năm 1945 gọi là gì ?,Bình dân học vụ,Xây dựng nếp sống mới,Xóa bỏ văn hóa thực dân nô dịch phản động,Bài trừ các tệ nạn xã hội,A,
Chương 6,57,"Đặc điểm “ Nền văn hóa tiên tiến, đậm đà bản sắc dân tộc “ được nêu đầu tiên tại Đại hội nào của Đảng ?",Đại hội V (1982 ),Đại hội VI ( 1986),Đại hội VII (1991),Đại hội X ( 2006),C,
Chương 6,58,"Từ sau cách mạng tháng Tám năm 1945, văn hóa được Hồ Chí Minh xác định là :",Đời sống vật chất và tinh thần của xã hội,"Đời sống tinh thần của xã hội , thuộc về kiên trúc thượng tầng",Thuộc về cơ sở hạ tầng,Đời sống vật chất của xã hội,B,
Chương 6,58,"Theo tư tưởng Hồ Chí minh, một trong những chức năng cơ bản của Văn hóa là :",Định hướng cho sự phát triển,Bồi dưỡng nhân tài,"Mở rộng hiểu biết, nâng cao dân trí",Nâng cao dân lực,C,
Chương 6,58,Đặc trưng cốt lõi của tư tưởng đạo đức Hồ Chí Minh là gì ?,Lòng thương người,Sự quan tâm đến con người,Chủ nghĩa nhân đạo chiến đấu,"Cả a,b,c đều sai",C,
Chương 6,58,"Theo Hồ Chí Minh , đạo đức là :",Gốc của người cách mạng,Phẩm chất của người cách mạng,Yêu cầu của người cách mạng,Tính cách của người cách mạng,A,
Chương 6,58,Hồ Chí Minh ví tuổi trẻ như mùa nào trong năm?,Mùa xuân,Mùa thu,Mùa hạ,Mùa đông CON NGƯỜI,D,
Chương 6,58,"Vào năm 1987, được tổ chức UNESCO ghi nhận Hồ Chí Minh là","Anh hùng giải phóng dân tộc, danh nhân văn hóa thế giới","Anh hùng giải phóng dân tộc, danh nhân văn hóa Việt Nam","Anh hùng giải phóng dân tộc, nhà văn hóa kiệt xuất Việt Nam","Anh hùng giải phóng nhân loại, danh nhân văn hóa kiệt xuất thế giới",C,
Chương 6,58,Hồ Chí Minh có:,3 cách tiếp cận về văn hóa,4 cách tiếp cận về văn hóa,5 cách tiếp cận về văn hóa,6 cách tiếp cận về văn hóa,B,
Chương 6,59,"Trong mối quan hệ với kinh tế, Hồ Chí Minh cho rằng:",Văn hóa là cơ sở hạ tầng của kinh tế,Văn hóa thuộc kiến trúc thượng tầng,Văn hóa và kinh tế tách biệt nhau,Văn hóa và kinh tế có mối quan hệ phát sinh.,B,
Chương 6,59,Chọn câu đúng theo tư tưởng Hồ Chí Minh:,Xã hội thế nào văn hóa thế ấy,Đời sống Xã hội phụ thuộc văn hóa,Văn hóa sinh ra đời sống xã hội,Tất cả đều sai,A,
Chương 6,59,"Theo Hồ Chí Minh, lòng yêu nước, thương nòi, tinh thần độc lập, tự cường, tự tôn dân tộc là:",Nội dung của bản sắc văn hóa dân tộc,Hình thức của bản sắc văn hóa dân tộc,Bản chất của bản sắc văn hóa dân tộc,Động lực của bản sắc văn hóa dân tộc,A,
Chương 6,59,"Theo tư tưởng Hồ Chí Minh, tiếp biến văn hóa là:",Bản chất của văn hóa,Quy luật của văn hóa,Động lực của văn hóa,Điều kiện của văn hóa,B,
Chương 6,59,"Theo Hồ Chí Minh, mục đích của tiếp thu văn hóa nhân loại là để:",Bổ sung và phát triển cho văn hóa Việt Nam.,"Làm giàu cho văn hóa Việt Nam, xây dựng văn hóa Việt Nam với tinh thần dân chủ.",Xây dựng tinh thần dân chủ cho văn hóa Việt Nam.,"Phát triển, xây dựng văn hóa Việt Nam với tinh thần dân chủ.",B,
Chương 6,59,Chọn phát biểu đúng của Hồ Chí Minh:,"Đạo đức là gốc, nền tảng, sức mạnh, tiêu chuẩn hàng đầu","Đạo đức là gốc, cơ sở, sức mạnh, tiêu chuẩn hàng đầu","Đạo đức là gốc, nền tảng, sức mạnh, động lực hàng đầu","Đạo đức là gốc, nền tảng, cơ sở, tiêu chuẩn hàng đầu",A,
Chương 6,59,"“Cũng như sông thì có nguồn mới có nước, không có nguồn thì sông cạn. Cây phải có gốc, không có gốc thì cây héo. Người cách mạng phải có đạo đức, không có đạo đức thì dù tài giỏi mấy cũng không lãnh đạo được nhân dân. Vì muốn giải phóng dân tộc, giải phóng cho loài người là một công việc to tát mà tự mình không có đạo đức, không có căn bản, tự mình đã hủ hóa, xấu xa thì còn làm nổi việc gì?”. Đoạn trích trên được trích trong tác phẩm nào của Hồ Chí Minh:",Bản án chế độ thực dân Pháp,Tác phẩm “con rồng tre”,Sửa đổi lối làm việc,Tác phẩm “Nhật ký trong tù”,C,
Chương 6,60,"Theo Hồ Chí Minh, tiêu chuẩn cho mục đích hành động là:",Đạo đức,Tài năng,Trí tuệ,Sức mạnh,A,
Chương 6,60,"Theo Hồ Chí Minh, phẩm chất đạo đức được xem là bao trùm, quan trọng nhất và chi phối các phẩm chất khác là:","Cần, kiệm, liêm, chính, chí công vô tư",Chuyên cần,"Trung với nước, hiếu với dân",Yêu thương con người,C,
Chương 6,60,"Theo Hồ Chí Minh, nội dung cốt lõi của đạo đức cách mạng là:","Cần, kiệm, liêm, chính, chí công vô tư",Chuyên cần,"Trung với nước, hiếu với dân",Yêu thương con người,A,
Chương 6,60,"Theo Hồ Chí Minh, tinh thần Quốc tế trong sáng, chủ nghĩa Quốc tế có nguồn gốc từ:",Bản chất của giai cấp công nhân,Lý tưởng của những người cộng sản,Truyền thống văn hóa Việt Nam,Tinh hoa văn hóa nhân loại,A,
Chương 6,60,Nguyên tắc xây dựng đạo đức cách mạng theo tư tưởng Hồ Chí Minh là:,"Nói đi đôi với làm, noi gương về đạo đức; xây đi đôi với chống; tu dưỡng đạo đức suốt đời","Nói đi đôi với làm, noi gương về đạo đức; xây quan trọng hơn chống; tu dưỡng đạo đức suốt đời","Làm quan trọng hơn nói, noi gương về đạo đức; xây đi đôi với chống; tu dưỡng đạo đức suốt đời","Nói đi đôi với làm, noi gương về đạo đức; xây đi đôi với chống; trau dồi tri thức suốt đời",A,
Chương 6,61,"Theo tư tưởng Hồ Chí Minh, “mỗi người tự rèn luyện, tu dưỡng ý thức, kết hợp với xây dựng cơ chế, tính khoa học của bộ máy và tạo dựng nền dân chủ” được hiểu là:",Ý nghĩa của việc xây dựng con người,Phương pháp xây dựng con người,Động lực xây dựng con người,Nội dung xây dựng con người.,B,
Chương 6,61,Chọn nội dung đúng nhất theo tư tưởng Hồ Chí Minh về “trồng người”:,Xây dựng con người,Giáo dục con người,"Trách nhiệm của Đảng, nhà nước, các đoàn thể chinh trị - xã hội kết hợp với tính tích cực, chủ động của từng người.",Tất cả đều sai,C,
Chương 6,61,"Theo Hồ Chí Minh, động lực của cách mạng là:",Tinh thần yêu nước,Con người,Giai cấp công nhân,Giai cấp nông nhân,B,
Chương 6,61,"Chọn từ điền vào chỗ trống: Văn hóa chính trị là một trong những.......... soi đường cho quốc dân đi......quốc dân để thực hiện độc lập, tự cường, tự chủ.",Điều khiển,Lãnh đạo,Dẫn dắt,Thúc đẩy,B,
Chương 6,62,Yếu tố cốt lõi đầu tiên tạo nên nền tảng tư tưởng đạo đức Hồ Chí Minh là:,Tình yêu thương con người,Tình yêu quê hương,Tình cảm gia đình,Tinh thần hiếu để,A,
Chương MỞ ĐẦU,62,"Theo Hồ Chí Minh, nội dung của tiếp thu văn hóa thế giới là:",Toàn diện,Chọn lọc,Đánh giá trước khi tiếp thu,Tất cả đều sai,A,
Chương MỞ ĐẦU,62,Khái niệm “Tư tưởng Hồ Chí Minh” lần đầu tiên được Đảng ta đưa ra tại Đại hội lần thứ mấy? a)Đại hội VI b)Đại hội VII c)Đại hội VIII d)Đại hội IX,,,,,,
Chương MỞ ĐẦU,62,Luận điểm “trong thực tế tư tưởng Hồ Chí Minh đã trở thành một tài sản tinh thần quý báu của Đảng và của cả dân tộc” được trích từ Văn kiện Đại hội lần thứ mấy của Đảng? a)Đại hội VI b)Đại hội VII c)Đại hội VIII d)Đại hội IX,,,,,,
Chương MỞ ĐẦU,62,Thời thiếu niên Chủ tịch Hồ Chí Minh có tên là: a)Nguyễn Tất Thành b)Nguyễn Sinh Cung c)Nguyễn Văn Ba d)Nguyễn Ái Quốc,,,,,,
Chương MỞ ĐẦU,62,"“Tôi muốn đi ra ngoài, xem nước Pháp và các nước khác. Sau khi xem xét họ làm như thế nào, tôi sẽ trở về giúp đồng bào chúng ta”. Câu nói này được Nguyễn Tất Thành nói vào thời điểm nào? a)1905 b)1910 c)1911 d)1912",,,,,,
Chương MỞ ĐẦU,63,Nguyễn Tất Thành ra đi tìm đường cứu nước vào ngày tháng năm nào? a)6/5/1910 b)5/6/1911 c)7/5/1917 d)7/5/1919,,,,,,
Chương MỞ ĐẦU,63,"Học tập, vận dụng và phát triển tư tưởng Hồ Chí Minh cần nắm vững các nguyên tắc phương pháp luận nào? a)Quan điểm thực tiễn và nguyên tắc lý luận gắn liễn với thực tiễn. b)Quan điểm toàn diện và hệ thống. c)Quan điểm kế thừa và phát triển. d)Tất cả các đáp án trên",,,,,,
Chương MỞ ĐẦU,63,Chọn đáp án đúng nhất với khái niệm Tư tưởng Hồ Chí Minh a)Tư tưởng Hồ Chí Minh là kết quả sự vận dụng sáng tạo và phát triển Chủ nghĩa Mác Lênin vào điều kiện cụ thể của nước ta. b)Tư tưởng Hồ Chí Minh là kết quả của sự vận dụng sáng tạo Chủ nghĩa Mác – Lênin vào điều kiện thực tế của nước ta. c)Tư tưởng Hồ Chí Minh là kết quả sự phát triển sáng tạo Chủ nghĩa Mác Lênin vào điều kiện cụ thể của nước ta. d)Tư tưởng Hồ Chí Minh là kết quả sáng tạo của Hồ Chí Minh xuất phát từ thực tiễn cách mạng Việt Nam và thế giới.,,,,,,
Chương MỞ ĐẦU,63,"Hãy lựa chọn câu dịch đúng nhất trong các phương án sau: Nghị quyết Đại hội đồng UNESCO lần thứ 24 vinh danh Hồ Chí Minh là: a)Anh hùng giải phóng dân tộc, nhà tư tưởng lớn của Việt Nam. b)Anh hùng giải phóng dân tộc, nhà cách mạng vĩ đại của Việt Nam. c)Anh hùng giải phóng dân tộc, nhà văn hóa kiệt xuất của Việt Nam. d)Anh hùng dân tộc vĩ đại, nhà văn hóa lớn của Việt Nam.",,,,,,
Chương 1,63,"Tên gọi “Nguyễn Ái Quốc” xuất hiện chính thức lần đầu tiên trong sự kiện nào? a)Rời bến cảng Nhà Rồng ra đi tìm đường cứu nước, năm 1911. b)Gửi bản Yêu sách của nhân dân An Nam tới Hội nghị Versailles, năm 1919. c)Dự Đại hội IV Quốc tế Cộng sản, năm 1922. d)Hội nghị Hợp nhất các tổ chức cộng sản, thành lập Đảng, năm 1930.",,,,,,
Chương 1,63,Truyền thống quý báu nhất của dân tộc Việt Nam được Hồ Chí Minh kế thừa và phát triển là gì? a)Chủ nghĩa yêu nước b)Lòng nhân ái c)Tinh thần hiếu học d)Cần cù lao động,,,,,,
