Chương,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
Chương 4,Tư tưởng Hồ Chí Minh về Hiếp pháp và pháp luật được thể hiện lần đầu trong:,Bản án chế độ thực dân Pháp,Tác phẩm “con rồng tre”,Yêu sách của nhân dân A n Nam,Tác phẩm “Nhật ký trong tù”,
Chương 4,"Trong tư tưởng Hồ Chí Minh, nhà nước quản lý xã hội chủ yếu bằng:",Cưỡng chế thi hành,Hiến pháp và pháp luật,Khuyên răn và giáo dục,Cưỡng chế và pháp luật,
Chương 4,"Theo Hồ Chí Minh, “Pháp quyề n nhân nghĩa” là:","Nhà nước phải tôn trọng, bảo đảm thực hiện đầy đủ các quyền con người, chăm lo đến lợi ích của mọi người.","Nhà nước phải tôn trọng, bảo đảm thực hiện đầy đủ các quyền cùa nhân dân, chăm lo đến lợi ích của nhân dân.","Nhà nước phải tôn trọng nhân dân, bảo đảm thực hiện đầy đủ các quyền con người, chăm lo đến lợi ích của mọi người","Nhà nước phải tôn trọng, bảo đảm thực hiện đầy đủ các quyền dân chủ, chăm lo đến lợi ích của mọi người",
Chương 4,"Theo Hồ Chí Minh “giặc nội xâm”, “giặc ở trong lòng” l à:","Tư túng, chia rẽ, kiêu ngạo","Lãng phí, tham ô, nhũng nhiễu","Tham ô, lãng phí, quan liêu",Tất cả đều đúng.,
Chương 4,Chọn ý đúng theo tư tưởng Hồ C hí Minh về Nhà nước,Nhà nước tự xác lập quyền lực nhà nước,Quyền lực nhà nước là “thừa ủy quyền” của giai cấp công nhân,Quyền lực nhà nước là “thừa ủy quyền” của n hân dân,Quyền lực nhà nước là “thừa ủy quyền” của công nông,
Chương 4,Chọn phát biểu sai:,Đảng cộng sản Việt Nam “không phải trên trời sa xuống”,Đảng cộng sản Việt Nam “không phải là một tổ chức để làm quan phát tài ”,"Đảng cộng sản Việt Nam “là đảng cách mạng, một đảng vì dân vì nước”",Đảng cộng sản Việt Nam “là đảng của gi ai cấp công nhân”,
Chương 5,"Hồ Chí Minh lưu ý, phải xây dựng đội n gũ cán bộ Đảng viên:","Vừa có đức, vừa có tài, trong sạch, vững mạnh","Trong sạch, vững mạnh","Vừa có đức, vừa có tài","Vừa có đức, vừa trong sạch, vững mạnh",
Chương 5,Tư tưởng đại đoàn kết dân tộc của Hồ C hí Minh được hình thành trên dựa trên cơ sở nào,"Từ truyền thống đoàn kết nhân ái, tinh thần gắn kết cộng đồng dân tộc Việt Nam",Từ quan điểm của chủ nghĩa Mác –Lênin về vai trò của quần chúng nhân dân,Từ thực tiễn thành công và thất bại của phong trào cách mạng Việt Nam và thế giớ i,Tất cả các phương án đều đúng,
Chương 5,Tư tưởng Hồ Chí Minh về đại đoàn kết dâ n tộc có mấy luận điểm:,Tổ chức của giai cấp nông dân,Tổ chức của giai cấp công nhân,Tổ chức của công nhân và nông dân,Tổ chức của các tầng lớp nhân dân,
Chương 5,"Trong tư tưởng Hồ Chí Minh, đại đoàn kế t dân tộc là:",Là nhiệm vụ hàng đầu của cách mạng,Là nhiệm vụ quan trọng nhất của cách mạng,"Là mục tiêu, nhiệm vụ hàng đầu của cách mạng, của dân tộc",Là mục tiêu của cách mạng,
Chương 5,"Trong tư tưởng Hồ Chí Minh, nền tảng của khối đại đoà n kết dân tộc là:",Liên minh công – nông,Liên minh công – nông – lao động trí óc,Liên minh công – nông và các lực lượng khác,Liên minh công – nông và các tầng lớp khác,
Chương 5,"Sức mạnh dân tộc trong tư tưởng Hồ Chí Minh, bao gồ m:",Chủ nghĩa yêu nước,Văn hóa truyền thống Việt Nam,"Tinh thần đoàn kết, ý thức đấu tranh cho độc lập dân tộc",Tất cả các phương án đếu đúng,
Chương 5,"Sức mạnh đoàn kết quốc tế trong tư tư ởng Hồ Chí Minh, bao gồm:",Sức mạnh liên minh chiến đấu giữa lao động ở các nước thuộc địa và lao động thuộc địa với vô sản chính quốc,"Sức mạnh của giai cấp vô sản, cacha mạng vô sản và Đảng Cộng sản",Sứa mạnh của ba dòng thác cách mạng và tiến bộ khoa học công nghệ,Tất cả các phương án đếu đúng,
Chương 5,"Theo Hồ Chí Minh, Mặt trận Dân tộc thống nhấ t phải dựa trên cơ sở:","Đảm bảo lợi lích tối cao của dân tộc, quyền lợi cơ bản của các tầ ng lớp nhân dân",Đảm bảo quyền lợi cơ bản của công – nông,Đảm bảo lợi ích của nhân dân lao động,Đảm bảo lợi ích tối cao của giai cấp công nhân,
Chương 5,Tìm yếu tố không nằm trong Mặt trận Dân tộc thống nhất?,Đảng Cộng sản,Nhà nước xã hội chủ nghĩa,Các tổ chức chính trị - xã hội,Tòa án nhân dân,
Chương 5,"Theo Hồ Chí Minh, đoàn kết quốc tế có vai trò như thế nào đối với thắng lợi của cách mạng:",Là vấn đề có ý nghĩa chiến lược quyết định sự thắng lợi,Quyết đinh,Vừa quan trọng vừa quyết định,Quan trọng,
Chương 5,"Trong tư tưởng Hồ Chí Minh, đại đoàn kết dân tộc là:",Đoàn kết công – nông – lao động trí óc,Đoàn kết công – nông và các tầng lớp khác trong xã hội,Đoàn kết công – nông,Đoàn kết toàn dân,
Chương 5,"Theo tư tưởng Hồ Chí Minh, trong Mặt trận Dân tộc thống nhất, Đảng Cộng sản là:","Vừa là thành viên, vừa là lực lượng lãnh đạo Mặt trận Dân tộc thống nhất.",Lực lượng lãnh đạo Mặt trận Dân tộc thống nhất,Thành viên của Mặt trận Dân tộc thống nhất,Đại biểu của giai cấp công nhân trong Mặt trận Dân tộc thống nhất.,
Chương 5,Chọn cụm từ điền vào chỗ trống [……] đúng với tư tưởng Hồ Chí Minh: “Chính sách ngoại giao của Chí nh phủ thì chỉ có một điều tức là thân thiện với [……] trên thế giới để giữ gìn hòa bì nh”,Các nước xã hội chủ nghĩa,Các nước lớn,Tất cả các nước dân chủ,Mọi nước,
Chương 5,Tên khối đoàn kết dân tộc do Hội nghị Trung ương Đảng lần thứ 6 (11/1939) xác định là mặt trận nào?,Mặt trận dân tộc giải phóng,Mặt trận dân chủ Đông Dương,Mặt trận dân tộc thống nhất phản đế Đông Dương,Mặt trận Việt Minh,
Chương 5,Chọn cụm từ điền vào chỗ trống [……] theo tư tưởng Hồ Chí Minh: “Cần phải giữ gìn sự đoàn kết nhất trí của Đảng như giũ gìn [……]”,Tài sản của mình,Nhân cách của mình,Tính mạng của mình,Con ngươi của mắt mình,
Chương 5,"Theo tư tưởng Hồ Chí Minh, một trong những nhân tố đóng vai trò quyết định thắng lợi của cách mạng là :",Đoàn kết quốc tế,Sự giúp đỡ của các nước xã hội chủ nghĩa,Đoàn kết dân tộc,Đoàn kết dân tộc kết hợp với đoàn kết quốc tế,
Chương 5,"Theo tư tưởng Hồ Chí Minh, một trong những nguyên tắc đoàn kết quốc tế là:",Không dùng vũ lực và đe doạ dùng vũ lực,Các bên cùng có lợi,"Đoàn kết trên cơ sở thống nhất mục tiêu và lợi ích, có l ý, có tình.","Có đi, có lại",
Chương 5,"Theo tư tưởng Hồ Chí Minh, yếu tố nào được xác định là mục tiêu, nhiệm vụ hàng đầu của Đảng, của dân t ộc?",Đoàn kết dân tộc kết hợp với đoàn kết quốc tế,Đoàn kết quốc tế,Giải phóng dân tộc,Đại đoàn kết dân tộc,
Chương 5,Chọn câu trả lời đúng với tư tưởng Hồ Chí Minh?,Đại đoàn kết dân tộc là vấn đề sách lược,Đại đoàn kết dân tộc là thủ đoạn chính trị,Đại đoàn kết dân tộc là vấn đề chiến lược,Đại đoàn kết dân tộc là vấn đề cấp bách,
Chương 5,Chủ trương trong quan hệ quốc tế của Việt Nam hiện nay là:,Việt Nam sẵn sàng là bạn của các nước trong cộng đồng quốc tế.,"Việt Nam muốn là bạn, là đối tác của các nước trong cộng đồng quốc tế.","Việt Nam sẵn sàng là bạn, là đối tác tin cậy của các nước trong cộng đ ồng quốc tế.",Việt Nam sẵn sàng là bạn tin cậy của các nước trong cộng đồng quốc tế .,
Chương 5,Mặt trận Việt Nam độc lập đồng minh (Việt Minh) được thành lập vào thời gian nào?,19/5/1940,19/5/1941,19/5/ 1942,19/5 /1945,
Chương 5,Mặt trận Liên -Việt được thành lập vào thời gian nào?,1941,1945,1951,1960,
Chương 5,Mặt trận Tổ Quốc Việt Nam được thành lập vào thời gian nào?,1941,1945,1951,1955,
Chương 5,Chọn cụm từ điền vào chỗ trống [……] để hoàn chỉn h câu thơ của Hồ Chí Minh: “Rằng đây bốn bể một nhà [……… ] đều là anh em”,Lao động thế giới,Bốn phương vô sản,Đông tây nam bắc,Vàng đen trắng đỏ,
Chương 5,"Trong kháng chiến Chống Mỹ, Hồ Chí Minh đã thành công trong việc xây dựng loại mặt trận nào?",Mặt trận đại đoàn kết dân tộc,Mặt trận đoàn kết ba nước Đông Dương,Mặt trận nhân dân tiến bộ thế giới đoàn kết với Việt Nam,"Cả a, b và c đều đúng",
Chương 5,Động lực chủ đạo của sự phát triển nước ta hiện nay là gì?,Đại đoàn kết dân tộc,Sự ủng hộ quốc tế,Khoa học công nghệ,Vốn đầu tư nước ngoài,
Chương 5,"Trong tư tưởng Hồ Chí Minh, lực lượng chủ yếu của khối đại đoàn kết dân tộc là:",Công nhân,"Học trò, nhà buôn",Công nhân – nông dân,"Công nhân, nông dan, lao động trí óc",
Chương 5,Luận điểm: “Cách mệnh An Nam cũng là một bộ phận trong cách mệng thế giới. Ai làm cách mệnh trong t hế giới đều là đồng chí của dân An Nam cả” được trích từ tác phẩm nào của Hồ Chí Minh?,Đông Dương (1923-1924),Bản án chế dộ thực dân Pháp,Đường Cách mệnh,Tuyên ngôn Độc lập,
Chương 5,"Chọn phương án đúng nhất đối với tư tưởng Hồ Chí Minh: Để tranh thủ sự giúp đỡ của các nước xã hội chủ ngh ĩa trong đấu tranh cách mạng, cần coi trọng nhân tố:",Có sự lãnh đạo đúng đắn của Đảng,"Tự lực cánh sinh, dựa vào sức mình là chính","Có đường lối độc lập, tự chủ",Dựa vào nguồn lực ngoại sinh là chính,
Chương 5,Mối quan hệ giữa nội lực và ngoại lực trong phát triển kinh tế là :,Nội lực là chính.,Ngoại lực trong thời kì đầu là chính để phá vỡ “cái vòng luẩn quẩn” .,"Nội lực là chính, ngoại lực là rất quan trọng.",Nội lực và ngoại lực quan trọng như nhau.,
Chương 5,"Chọn cụm từ đúng điền vào chỗ trống: “Việt Nam muốn làm bạn với (1) ……...., không gây thù oán với một ai ”",Các nước xã hội chủ nghĩa,Các dân tộc thuộc địa bị áp bức,Mọi nước dân chủ,Cá c nước phát triển cao,
Chương 5,Chọn phương án trả lời đúng theo tư tưởng Hồ Chí Minh về nguyên tắc ngoại giao:,Phải cứng rắn về nguyên tắc,Phải mềm dẻo về sách lược,"Vừa cứng rắn về nguyên tắc, vừa mềm dẻo về sách lược","“Dĩ bất biến, ứng vạn biến”",
Chương 5,Thông cáo về chính sách ngoại giao của nước Cộng hòa Dân chủ Việt Nam ngày 03/10/1945 xác định mục tiêu đối ngoại c ủa Việt Nam là góp phần “đưa nước nhà đến sự [……] và vĩnh viễn”.,Tự do hoàn toàn,Độc lập hoàn toàn,Hạnh phúc vô tận,Độc lập vô tận,
Chương 5,"Luận điểm “Đoàn kết, đoàn kết, đại đoàn kết; Thành công, thành công, đại thành công” của Hồ Chí Minh đư ợc trích từ tác phẩm:",Bài nói chuyện tại trong buổi bế mặc Đại hội thành lập Mặt trận Tổ Quốc Việt Nam,Bài nói chuyện tại Hội nghị mở rộng Ủy ban Mặt trận Tổ quốc Việt Nam,Bài nói chuyện tại Đại hội đại biểu Mặt trận Tổ Quốc Việt Nam lần thứ II,Tuyên ngôn độc lập,
Chương 5,Luận điểm ”Lao động tất cả các nước đoàn kết lại” là của ai?,Các Mác,Ăng ghen,Lênin,Hồ Chí Minh,
Chương 5,"Khẩu hiệu ”Giai cấp vô sản tất cả các nước và các dân tộc bị áp bức, đoàn kết lại” là của ai?",Các Mác,Ăng ghen,Lênin,Hồ Chí Minh,
Chương 5,"Trong các luận điểm sau, luận điểm nào là của Hồ Chí Minh:","Vô sản tất cả các nước, đoàn kết lại",Vô sản tất cả các nước và các dân tộc bị áp bức đoàn kết lại,Vô sản tất cả các nước liên hiệp lại,"Lao động tất cả các nước, đoàn kết lại",
Chương 5,"Theo Hồ Chí Minh, khối đại đ oàn kết toàn dân tộc phải dựa trên lập trường của:","Giai cấp công nhân, nông dân và tầng lớp trí thức",Dân tộc,Giai cấp công nhân,Giai cấp công nhân và Dân tộc,
Chương 5,"Theo Hồ Chí Minh, kế thừa truyền thống yêu nước, nhân nghĩa, đoàn kết của dân tộc là:",Nguyên nhân của khối đại đoàn kết toàn dân tộc,Điều kiện của khối đại đoàn kết toàn dân tộc.,Hạt nhân của khối đại đoàn kết toàn dân tộc,Yêu cầu của khối đại đoàn kết toàn dân tộc,
Chương 5,"Theo Hồ Chí Minh, khối đại đoàn kết toàn dân tộc chỉ có sức mạnh khi:",Được lãnh đạo,Được tập hợp thành một khối,Được trang bị vũ khí,Được trang bị lý luận.,
Chương 5,"Theo Hồ Chí Minh, Mặt trận dân tộc thống nhất phải được xây dựng và hoạt động dựa trên:",3 nguyên tắc,4 nguyên tắc,5 nguyên tắc,6 nguyên tắc,
Chương 5,"Theo Hồ Chí Minh, đoàn kế t quốc tế nhằm:",Kết hợp sức mạnh dân tộc với sức mạnh thời đại,"Kết hợp sức mạnh dân tộc với sức mạnh thời đại, tạo sức mạnh tổng hợp cho cách mạng.",Tạo sức mạnh tổng hợp cho cách mạng.,"Tận dụng sự giúp đỡ, hỗ trợ của nhân dân tiến bộ các nước.",
Chương 5,"Theo tư tưởng Hồ Chí Minh, lực lượng của đoàn kết quốc tế bao gồm:",Phong trào cộng sản và công nhân Quốc tế,Phong trào đấu tranh giải phóng dân tộc,"Các lực lượng tiến bộ, những người yêu chuộng hòa bình, dân chủ, tự do và công lý.",Tất cả đều đúng,
Chương 5,"Theo Hồ Chí Minh, trong đoà n kết quốc tế:","Nội lực là quyết định, ngoại lực là cơ bản","Nội lực là quyết định, ngoại lực phát huy t hông qua nội lực","Nội lực là cơ bản, ngoại lực là quyết định",Nội lực và ngoại lực có tầm quan trọng như nhau.,
Chương 5,"Quan điểm “Đại đoàn kết dân tộc là đường lối chiến lược của cách mạng Việt Nam, là động lực và nguồn lực to lớn trong xây dựng và bảo vệ Tổ quốc” được Đảng xác định tại:",Đại hội Đảng lần thứ X,Đại hội Đảng lần thứ XI,Đại hội Đảng lần thứ XII,Đại hội Đảng lần thứ IX,
Chương 5,"Theo Hồ Chí Minh, hạt nhân của s ự đoàn kết là:",Sự đoàn kết và thống nhất trong Đảng,Sự đồng thuận trong nhân dân,Sự hài hòa về lợi ích của nhân dân,Sự tin tưởng của nhân dân.,
Chương 6,Chủ thể của khối đại đoàn kế t toàn dân tộc là:,Toàn thể nhân dân Việt Nam yêu nước,Toàn thể giai cấp công nhân Việt Nam,Toàn thể Đảng viên Đảng Cộng sản Việt Nam,"Toàn thể giai cấp công nhân, nông dân và tầng lớp trí thức.",
Chương 6,"So với các nền dân chủ trước đây, dân ch ủ XHCN có điểm gì khác biệt cơ bản:",Không còn mang tính giai cấp,Là nền dân chủ phi lịch sử,Là nền dân chủ rỗng rãi cho giai cấp công nhân và nhân dân lao động.,Là nền dân chủ thuần tuý,
Chương 6,Cơ chế vận hành của hệ thống chính t rị nước ta là:,"Đảng và nhà nước lãnh đạo, quản lý, nhân dân làm chủ","Đảng lãnh đạo, nhà nước quản lý, nhân dân làm chủ","Nhà nước lãnh đạo, Đảng quản lý, nhân dân làm chủ","Nhà nước làm chủ, Đảng lãnh đạo, nhân dân quản lý",
Chương 6,Quốc hội đầu tiên của nước Việt Nam dân chủ c ộng hoà được nào?,4/1/1946,1/6/1946,6/1/1946,7/1/1946,
Chương 6,"Cho đến nay, nước ta đã từng có mấy bản Hiến phá p?",Một,Hai,Ba,Bốn,
Chương 6,Hiến pháp 1980 được thông qua tại Quốc hội nư ớc Cộng hoà xã hội chủ nghĩa Việt Nam khoá mấy?,Quốc hội khoá V,Quốc hội khoá VI khoá VIII,Quốc hội khoá VII,Quốc hội,
Chương 6,Bầu cử các đại biểu Quốc hội và Hội đồng Nhân dân các cấp của dân vào các cơ quan quyền lực nhà nước th uộc loại hình dân chủ nào?,18 tuổi,19 tuổi,20 tuổi,21 tuổi,
Chương 6,"Trong hệ thống chính trị, Hồ Chí Minh coi trọng vai trò của:",Bộ Chính trị,Ban Chấp hành Trung Ương,Ban Bí thư,Chi bộ,
Chương 6,"Ở nước ta hiện nay, công dân từ bao nhiêu tu ổi trở lên thì có quyền ứng cử vào đại biểu Quốc hội?",18 tuổi,19 tuổi,20 tuổi,21 tuổi,
Chương 6,"Xây dựng nhà nước pháp quyền XHCN của dân, do dân, vì dân ở nước ta hiện nay cần phải làm gì?",Tăng cường sự lãnh đạo của Đảng,Dân chủ hoá tổ chức và hoạt động của bộ máy Nhà nước.,"Xây dựng hệ thống luật pháp hoàn chỉnh và phân lập rõ các quyền lập p háp, hành pháp và tư pháp.",Đưa luật pháp vào cuộc sống.,
Chương 6,"Dưới đây là một số luận điểm của Hồ Chí Minh về một nhà nước của dân, do dân, vì dân. Hỏi luận điể m nào trực tiếp thể hiện t ư tưởng nhà nước vì dân?",Nhà nước,Dân,Đảng,Đảng và Nhà nước,
Chương 6,"Theo tư tưởng Hồ Chí Minh, nhà nước ta mang bản chất của:",Nhà nước do Đảng của giai cấp công nhân lãnh đạo,Nhà nước hoạt động theo nguyên tắc tập trung dân chủ,Giai cấp công nhân là lực lượng cơ bản của nhà nước,Nhà nước định hướng đưa đất nước đi lên chủ nghĩa xã hội,
Chương 6,"Luận điểm nào sau đây là sai? Theo tư tưởng Hồ Chí Minh, Đảng lãnh đạo Nhà nước bằng:",Chăm lo mọi mặt đời sống của nhân dân,Mọi quyền lực trong nhà nước và trong xã hội đều thuộc về nhân dân,Mọi công việc của nhà nước do dân quyết định,Đại biểu của nhà nước do dân bầu ra,
Chương 6,"Luận điểm nào sau đây là sai? Theo Hồ Chí Minh, trong xây dựng đường lối chính trị Đảng cần phải :","Thật sự là đội tiên phong dũng cảm, là bộ tham mưu sáng suốt của giai cấp công nhân, nhân dân lao động và của cả dân tộc",Dựa trên cơ sở lý luận của chủ nghĩa Mác – Lênin,Vận dụng kinh nghiệm của các Đảng cộng sản và anh em vào điều kiện cụ thể của nước ta trong thời kỳ quá độ,Tập hợp các nhà nghiên cứu lý luận giỏi,
Chương 6,"Theo tư tưởng Hồ Chí Minh, nhà nước vì dân là nhà nước:",Tất cả đều vì lợi ích của nhân dân,Do nhân dân làm chủ,Phục vụ nhân dân,Chăm lo mọi mặt đời sống nhân dân,
Chương 6,"Luận điểm nào sau đây là sai? Theo tư tưởng Hồ Chí Minh, nhà nước vì dân là nhà nước:",Tất cả đều vì lợi ích của nhân dân,Do nhân dân làm chủ,Phục vụ nhân dân,Chăm lo mọi mặt đời sống nhân dân,
Chương 6,"Chọn cụm từ điền vào chỗ trống [……] theo tư tưởng Hồ Chí Minh: “Chế độ ta là chế độ dân chủ, nghĩa là [……] làm chủ”",Công nhân,Nông dân,Nhân dân,Công - nông,
Chương 6,"Chọn cụm từ đi ền vào c hỗ trống […..] theo tư tưởng Hồ Chí Min h : “ nước ta là nước [….] , ng hĩa là do nhân dân [….]” a.cộng hòa , quản lý b.vì dân, kiểm soát c.dân chủ , làm chủ d.dân chủ kiểm soát",,,,,
Chương 6,"Chọn cụm từ điền vào chỗ trống […..] theo tư tư ởng Hồ Chí Minh: “ tất cả các cơ quan nhà nước đều phải dựa vào [….. ], liên hệ chặt chẽ với [….] lắng nghe chú ý chịu sự kiểm soát của [……. ]”. a.Công nhân b.Quốc hội d.Chính phủ c.Nhân dân",,,,,
Chương 6,"Chọn cụm từ điền vào chỗ trống […..] theo tư tư ởng Hồ Chí Minh: “ nước nhà thịnh hay suy , yếu hay mạ nh một phần lớn do các […..] “. a.thanh niên b.Cấn bộ nhà nước c.Thiếu nhi , nhi đồng d.tri thức 29 Theo Hồ Chí Minh , chế độ chính trị mà ch úng ta xây dựng là chế độ:",Nhà nước phải chịu sự lãnh đạo của Đảng,Nhà nước phải chịu sự giám sát của nhân dân,Nhà nước phải quản lý đất nước bằng Hiế n pháp và pháp luật,Đẩy mạnh quan hệ quốc tế,
Chương 6,Chọn phương án đúng theo tư tư ởng Hồ Chí Minh: a.Pháp luật đúng là pháp luật thể hiện và bảo vệ đ ược lợi ích của dân.,,Pháp luật đúng là pháp luật thể hiện và bảo vệ giai cấp cầm quyền.,Pháp luật đúng là pháp luật duy trì sự cầm quyền của Đảng,Phấp luật đúng là công cụ thống trị của thế lực cầm quyền .,
Chương 6,Nhà nước do dân theo tư tưởng Hồ Chí Mi nh là :,Đại biểu của nhà nước do dân lựa chọn. Nhà nước phải liên hệ chặt chẽ vớ i dân .,"Dân ủng hộ, giúp đỡ , đóng thuế để nhà nước chi tiêu hoạt động","Dân có quyền kiểm soát , giám sát , bãi miễ n nếu đại biểu không làm tròn sự ủy thác của dân","Cả a,b,c đều đúng",
Chương 6,Nhà nước vì dân theo tư tưởng Hồ Chí Min h là:,Phục vụ vì lợi ích và nguyện vọng chính đáng của n hân dân,"Dân làm chủ , chính phủ là đầy tớ . Mọi chủ trương, chính sách, pháp luật đều xuất phát từ lợi ích của dân","Nhà nước trong sạch không có bất cứ một đặc quyền , đặc lợi nào","Cả a,b,c đều đúng",
Chương 6,Điền vào chỗ trống [……] đúng theo tư tư ởng Hồ Chí Minh: Nhà nước Việt Nam […..]: a.Mang bản chất giai cấp công nhân,Bệnh thành tích,"Tư túng , chia sẽ , kiêu ngạo","Đặc quyền , đặc lợi","Tham ô , lãng phí , quan liêu",
Chương 6,Một nhà nước pháp quyền có pháp l ý mạnh mẽ theo Hồ Chí Minh phải là :,Tiếp tục phát triển kinh tế,Ra sức phát triển văn hóa,Công việc đối với con người,Phát triển khoa học kỹ thuật,
Chương 6,Câu nói nào sau đây là của Hồ Chí Minh ?,Đường lối lãnh đạo,Cán bộ tốt hay kém,Cán bộ lãnh đạo,Phương pháp lãnh đạo,
Chương 6,"Theo tư tưởng Hồ Chí Minh , trong mỗi con người b ao giờ cũng có :",8-1941 b.8-1942 d.8-1945,Đào tạo nhân lực,8-1943,"Mở rộng hiểu biết nâng cao dân trí 71 Lần đầu tiên, Hồ Chí Minh đưa ra định nghĩa văn h óa vào thời gian nào ?",
Chương 6,Quan điểm xây dựng một nền văn hóa có nội dung xã h ội chủ nghĩa còn có tính dân tộc được Hồ Chí Minh nê u ra vào thời gian nào ?,1951,1954,,1965 c.1960,
Chương 6,"Luận điểm nào sau đây là SAI ? Theo tư tưởng Hồ C hí minh , chức năng cơ bản của Văn hóa là:",Bồi dưỡng tư tưởng và tĩnh cảm cao đẹp,"Bồi dưỡng những phẩm chất, phong cách và lối sống tốt đẹp , lành mạnh hướ ng con người đến chân , thiện , mỹ để hoàn thiện bản thân.",Giải trí cho con người,"Mở rộng hiểu biết , nâng cao dân trí",
Chương 6,"Bác Hồ viết : Nay chúng ta đã giành được q uyền độc lập,một trong những công việc phải thực hiện cấp tốc lúc này , là nâng cao dâ n trí [……] Phụ nữ lại càng cần phải học, đã lâu chị e m bị kìm hãm, đây là lúc chị em phải có gắng để kịp nam giới “Đoạn vă n trên trích từ văn bản nào của Hồ Chí Minh ?",Chống nạn thất học,Sắc lệnh thành lập Nha bình dân học vụ,Đời sống mới,Sắc lệnh thiết lập Hội đồng cố vấn học chính,
Chương 6,"Trong phiên họp đầu tiên của chính p hủ nước Việt Nam dân chủ cộng hòa , dưới sự của chủ tịch Hồ Chí Minh, Người đã n ói :” nạn dốt là một trong những phương pháp độc ác mà bọn thực dâ n dùng để cai trị chúng ta. Hơn chin mươi phần trăm đồng bào chúng t a mù chữ.. Một dân tộc dốt là một dân tộc yếu. Vì vậy, tôi đề nghị một chiến dịch để chống nạn mù chữ “ Phiên họp đó diễn ra vào lúc nào ?","Dân tộc, dân chủ","Dân tộc , giải phóng","Dân tộc , giải cấp","Dân chủ , công bằng",
Chương 6,Phong trào mà Hồ Chí Minh chủ trương để xóa nạ n mù chữ sau năm 1945 gọi là gì ?,Bình dân học vụ,Xây dựng nếp sống mới,Xóa bỏ văn hóa thực dân nô dịch phản động,Bài trừ các tệ nạn xã hội,
Chương 6,"Đặc điểm “ Nền văn hóa tiên tiến, đậm đà b ản sắc dân tộc “ được nêu đầu tiên tại Đại hội nào của Đảng ?",Đại hội V (1982 ),Đại hội VI ( 1986),Đại hội VII (1991),Đại hội X ( 2006),
Chương 6,"Từ sau cách mạng tháng Tám năm 1945, văn hóa được Hồ Chí Min h xác định là :",Đời sống vật chất và tinh thần của xã hội,"Đời sống tinh thần của xã hội , thuộc về kiên trúc thượ ng tầng",Thuộc về cơ sở hạ tầng,Đời sống vật chất của xã hội,
Chương 6,"Theo tư tưởng Hồ Chí minh, một trong những c hức năng cơ bản của Văn hóa là :",Định hướng cho sự phát triển,Bồi dưỡng nhân tài,"Mở rộng hiểu biết, nâng cao dân trí",Nâng cao dân lực,
Chương 6,Đặc trưng cốt lõi của tư tưởng đạo đức Hồ Chí M inh là gì ?,Lòng thương người,Sự quan tâm đến con người,Chủ nghĩa nhân đạo chiến đấu,"Cả a,b,c đều sai",
Chương 6,"Theo Hồ Chí Minh , đạo đức là :",Gốc của người cách mạng,Phẩm chất của người cách mạng,Yêu cầu của người cách mạng,Tính cách của người cách mạng,
Chương 6,Hồ Chí Minh ví tuổi trẻ như mùa nào trong nă m?,Mùa xuân,Mùa thu,Mùa hạ,Mùa đông CON NGƯỜI,
Chương 6,"Vào năm 1987, được tổ chức UNESCO ghi nhận Hồ C hí Minh là","Anh hùng giải phóng dân tộc, danh nhân văn hóa thế giới","Anh hùng giải phóng dân tộc, danh nhân văn hóa Việt Nam","Anh hùng giải phóng dân tộc, nhà văn hóa kiệt xuất Việt Nam","Anh hùng giải phóng nhân loại, danh nhân văn hóa kiệt xuất thế giới",
Chương 6,Hồ Chí Minh có:,3 cách tiếp cận về văn hóa,4 cách tiếp cận về văn hóa,5 cách tiếp cận về văn hóa,6 cách tiếp cận về văn hóa,
Chương 6,"Trong mối quan hệ với kinh t ế, Hồ Chí Minh cho rằng:",Văn hóa là cơ sở hạ tầng của kinh tế,Văn hóa thuộc kiến trúc thượng tầng,Văn hóa và kinh tế tách biệt nhau,Văn hóa và kinh tế có mối quan hệ phát sinh.,
Chương 6,Chọn câu đúng theo tư tưởng Hồ C hí Minh:,Xã hội thế nào văn hóa thế ấy,Đời sống Xã hội phụ thuộc văn hóa,Văn hóa sinh ra đời sống xã hội,Tất cả đều sai,
Chương 6,"Theo Hồ Chí Minh, lòng yêu nước, thương nòi, tinh thần độc lập, tự cường, tự tôn dân tộc là:",Nội dung của bản sắc văn hóa dân tộc,Hình thức của bản sắc văn hóa dân tộc,Bản chất của bản sắc văn hóa dân tộc,Động lực của bản sắc văn hóa dân tộc,
Chương 6,"Theo tư tưởng Hồ Chí Minh, tiế p biến văn hóa là:",Bản chất của văn hóa,Quy luật của văn hóa,Động lực của văn hóa,Điều kiện của văn hóa,
Chương 6,"Theo Hồ Chí Minh, mục đích của tiế p thu văn hóa nhân loại là để:",Bổ sung và phát triển cho văn hóa Việt Nam.,"Làm giàu cho văn hóa Việt Nam, xây dựng văn hóa Việt Nam với tinh thầ n dân chủ.",Xây dựng tinh thần dân chủ cho văn hóa Việt Nam.,"Phát triển, xây dựng văn hóa Việt Nam với tinh thần dân chủ.",
